Year,Section,Content
1884,Event Summary,"Amusement Park promoter La Marcus Thompson built America's first modern roller coaster at Coney Island; Brooklyn, New York called ""The Gravity Pleasure Switchback Railway"". The groundbreaking ride incorporated a flat steel track nailed onto several layers of wooden planks. Two forty-five foot towers were then connected with ramp that allowed the ride to reach a top speed of six miles per hour. The train cars had to be manually towed to the top of the hills at the beginning of both tracks and the patrons were required to get out at the end of the first track and climb stairs to the second hill to board the train again for a return trip. Despite the inconveniences, at only five cents per ride, the ticket profits repaid Thompson's original investment in less than three weeks."
1884,Event Summary,The National League expanded its schedule to one-hundred twelve games.
1884,Event Summary,"A rivalry was born in the ""Big Apple"" as the New York Giants and Brooklyn Trolley-Dodgers met for the first time in an exhibition game on April 18th."
1884,Event Summary,"On June 27th, Larry Corcoran of the Chicago White Stockings became the first pitcher in Major League history with three career no-hitters after blanking the Providence Grays 6-0."
1884,Event Summary,"Decades before Jackie Robinson ""officially"" broke baseball's color barrier, Moses Fleetwood Walker played forty-six Major League games for the American Association's Toledo Blue Stockings."
1884,Event Summary,"Thirty-one year-old rookie Sam Kimber (Brooklyn Trolley-Dodgers) tossed an eleven-inning, no-hitter against the Toledo Blue Stockings on October 4th. Unfortunately, darkness came before someone could score and the game was called at a 0-0 tie."
1884,Event Summary,"Outfielder Harry Wheeler became the only player ever to appear with five separate teams during the same season. Wheelers 1884 resume included five games with the St. Louis Browns (in the American Association) then on to the Union Association's Kansas City Unions (twenty games), Chicago Browns (seventeen games), Pittsburgh Stoogies (seventeen games) and Baltimore Monumentals (seventeen games)."
1884,Event Summary,Philadelphia Keystones catcher Jack Clements became the first player ever to wear a chest protector in a Major League game. Roger Bresnahan would later popularize the device.
1884,Event Summary,"""David Orr, the old-time baseball player who covered first base for the Columbus American Association team in 1880, and later for the Brooklyn Nationals, died suddenly of heart disease Wednesday night at the home of his niece, Mrs. Harry Britton, in Richmond Hill."" -New York Times Obituary. 4 June 1919."
1884,Event Summary,←1883| 1884 Hitting Statistics League Leaders |1885→
1884,Event Summary,←1883| 1884 Pitching Statistics League Leaders |1885→
1884,Event Summary,Team Standings
1884,Event Summary,Hitting Statistics League Leaderboard
1884,Event Summary,Pitching Statistics League Leaderboard
1884,Event Summary,"On May 1, 1884,Fleet Walkerof the1884 Toledo Blue Stockingsstepped on the field and became the first black Major League baseball player. He had a tough day going 0-for-3 at the plate and committing four errors in the field, but improved during his next forty-one games until injuries sidelined him in September."
1884,Event Summary,"Did you know that the most passed balls by a catcher during an American Association game is six? That infamous record belongs toAlex Gardnerof the1884 Washington Nationalswho was behind the plate on May 10, 1884, playing in his first (and only) Major League game."
1884,Event Summary,"The Columbus Colts were the first American Association team to fold, despite finishing second in 1884 and sixth in 1883. Their entire roster was sold to the Pittsburgh Alleghenys franchise for the total price of $6,000 on October 30, 1884."
1885,Event List,All-Star GameA.L.C.S. & N.L.C.S.AwardsBallparksCollege BaseballDivision SeriesDraftManagersOpening DayTeam by TeamTrades DatabaseUmpiresWild Card GameWorld SeriesYear by Year
1885,Event List,Baseball FamiliesBiographiesBirthplace AnalysisFabulous FeatsFamous FirstsGrave SitesHall of FameInterviewsObituariesPlace of Death AnalysisThe BallplayersQuotesYear of Birth AnalysisYear of Death Analysis
1885,Event List,Attendance DataHitting ChartsPitching ChartsRecord BooksStatmaster
1885,Event List,"1,500 Oldest PlayersAutographsBaseball CardsBaseball ChartsBaseball ListsBook ShelfCups of CoffeeFun & GamesHumor & JokesMovie TimeNews FeedsPoetry & SongResearch ArticlesUniform NumbersU.S. Presidents"
1885,Event List,AdvertisingBlogDictionaryFeedbackNewsletterRulesScoringSearch & FindStats 101
1885,Event Summary,"The Statue of Liberty arrived in New York aboard the French ship ISERE. Later assembled on Ellis Island in New York Harbor, the one-hundred fifty-one foot statue was a gift of international goodwill from the people of France to the people of the United States. She was completed and dedicated on October 28th, 1886 and was designated a National Monument on October 15th, 1924. The Statue was extensively restored in time for her spectacular centennial on July 4th, 1986 and today she is still considered THE universal symbol of political freedom and democracy."
1885,Event Summary,"The National League began its season with the founding franchise members including the Boston Beaneaters, Chicago White Stockings, Buffalo Bisons, Detroit Wolverines, New York Giants, Philadelphia Phillies and Providence Grays. After the Union Association folded, the Cleveland Spiders and St. Louis Unions merged into a new National League franchise named the St. Louis Maroons. At the conclusion of the season, the Bison and Grays dropped out and were replaced by the Washington Senators and Kansas City Cowboys."
1885,Event Summary,"Spring Training began as Cap Anson and his Chicago White Stockings traveled to Hot Springs, Arkansas to prepare for the upcoming season."
1885,Event Summary,Art Irwin of the Providence Grays developed the first known fielder's glove after padding a buckskin glove to protect his two broken fingers.
1885,Event Summary,"The American Association leading St. Louis Browns and National League champion Chicago White Stockings went head-to-head for six Championship games (winning three each) resulting in a rare tie. Despite the forming of a special committee to determine a winner, both teams were declared champions and split the $1,000 purse - $500 each."
1885,Event Summary,"Both the American Association and National League set a maximum pay cap at $2,000 with no bonuses."
1885,Event Summary,"""Wounds of a knife that was plunged into Big Ed Morris's chest during a fight at a fish fry given in his honor Monday night caused the death of the veteran pitcher for the Boston Red Sox here today."" - New York Times (March 4, 1932)"
1885,Event Summary,←1884| 1885 Hitting Statistics League Leaders |1886→
1885,Event Summary,←1884| 1885 Pitching Statistics League Leaders |1886→
1885,Event Summary,Team Standings
1885,Event Summary,Hitting Statistics League Leaderboard
1885,Event Summary,Pitching Statistics League Leaderboard
1885,Event Summary,"On June 7, 1885, the American Association formally adjusted their rules stating that all pitchers using an overhand delivery can do so without any type of delivery restrictions."
1885,Event Summary,"Did you know that the most consecutive games won on a team's home field by any Major League franchise is twenty-seven? That record belongs to the American Association St. Louis Browns who were finally defeated on July 18, 1885 by the Philadelphia Athletics."
1885,Event Summary,"The entire American Association cancelled all their games on August 8, 1885 in respect to the burial of former President Ulysses S. Grant in New York City, New York."
1886,Event List,All-Star GameA.L.C.S. & N.L.C.S.AwardsBallparksCollege BaseballDivision SeriesDraftManagersOpening DayTeam by TeamTrades DatabaseUmpiresWild Card GameWorld SeriesYear by Year
1886,Event List,Baseball FamiliesBiographiesBirthplace AnalysisFabulous FeatsFamous FirstsGrave SitesHall of FameInterviewsObituariesPlace of Death AnalysisThe BallplayersQuotesYear of Birth AnalysisYear of Death Analysis
1886,Event List,Attendance DataHitting ChartsPitching ChartsRecord BooksStatmaster
1886,Event List,"1,500 Oldest PlayersAutographsBaseball CardsBaseball ChartsBaseball ListsBook ShelfCups of CoffeeFun & GamesHumor & JokesMovie TimeNews FeedsPoetry & SongResearch ArticlesUniform NumbersU.S. Presidents"
1886,Event List,AdvertisingBlogDictionaryFeedbackNewsletterRulesScoringSearch & FindStats 101
1886,Event Summary,"A bombing at Haymarket Square in Chicago killed seven policemen and injured many others. The attack occurred during a demonstration for an eight-hour workday that was organized by eight alleged anarchists who were later arrested and accused of the crime. Following a speedy trial, three were imprisoned; one committed suicide and four others were hanged. In 1893, Illinois Governor John P. Altgeld pardoned the three survivors after accusations of an unfair trial surfaced."
1886,Event Summary,Pitcher Jim McCormick of the Chicago White Stockings topped the New York Giants 7-3 on July 1stfor his sixteenth consecutive win.
1886,Event Summary,"""The Bible of Baseball"" aka The Sporting News was established in St. Louis Missouri."
1886,Event Summary,The American Association Champion St. Louis Browns took on the National League Champion Chicago White Stockings and beat them in six games for the Championship title.
1886,Event Summary,Tip O'Neil of the Browns became the first player ever to hit two round-trippers in championship play after knocking two inside-the-park homers en route to a 12-0 massacre over Chicago.
1886,Event Summary,"Baltimore Orioles pitcher Matt Kilroy posted five-hundred thirteen strikeouts in sixty-eight games, but still finished the season with a 29-34 record and a last-place team."
1886,Event Summary,"""Although Mr. Larkin played baseball when the rules of the game were vastly different from those of today, he professed recently not to see much difference."" - New York Times Obituary (February 2, 1942)"
1886,Event Summary,←1885| 1886 Hitting Statistics League Leaders |1887→
1886,Event Summary,←1885| 1886 Pitching Statistics League Leaders |1887→
1886,Event Summary,Team Standings
1886,Event Summary,Hitting Statistics League Leaderboard
1886,Event Summary,Pitching Statistics League Leaderboard
1886,Event Summary,"On August 24, 1886,Matt Kilroyof the Baltimore Orioles struck out sixteen Philadelphia Athletics batters - a single game high for the season where he set the all-time record for strikeouts with five-hundred thirteen."
1886,Event Summary,Did you know that fans who attended games in the New York Metropolitans park on Staten Island were able to watch the Statue of Liberty being built while they enjoyed a game of baseball?
1886,Event Summary,"The 1886 American Association batting champion wasGuy Hecker(.341) who narrowly defeatedPete Browning(.340). However,Heckerwas a pitcher and became the first and only hurler to ever win a batting title from any league in any season in Major League history."
1887,Event List,All-Star GameA.L.C.S. & N.L.C.S.AwardsBallparksCollege BaseballDivision SeriesDraftManagersOpening DayTeam by TeamTrades DatabaseUmpiresWild Card GameWorld SeriesYear by Year
1887,Event List,Baseball FamiliesBiographiesBirthplace AnalysisFabulous FeatsFamous FirstsGrave SitesHall of FameInterviewsObituariesPlace of Death AnalysisThe BallplayersQuotesYear of Birth AnalysisYear of Death Analysis
1887,Event List,Attendance DataHitting ChartsPitching ChartsRecord BooksStatmaster
1887,Event List,"1,500 Oldest PlayersAutographsBaseball CardsBaseball ChartsBaseball ListsBook ShelfCups of CoffeeFun & GamesHumor & JokesMovie TimeNews FeedsPoetry & SongResearch ArticlesUniform NumbersU.S. Presidents"
1887,Event List,AdvertisingBlogDictionaryFeedbackNewsletterRulesScoringSearch & FindStats 101
1887,Event Summary,"English author Sir Arthur Conan Doyle's first Sherlock Holmes story ""A Study in Scarlet"" was published. Doyle's brilliant and theatrical hero solved all of his extraordinarily complex cases through what he called ""ingenious deductive reasoning"". His companion, Dr. Watson, narrated the stories and both characters helped to redefine the mystery novel. Doyle later abandoned his medical practice in 1890 and devoted his time to writing. Other works of the great detective included The Sign of the Four (1890), The Memoirs of Sherlock Holmes (1894), The Hound of the Baskervilles (1902), The Return of Sherlock Holmes (1905), His Last Bow (1917), and The Case Book of Sherlock Holmes, (1927)."
1887,Event Summary,The Philadelphia Phillies finished off their 1887 season with an unprecedented sixteen consecutive wins.
1887,Event Summary,"Detroit Wolverines owner Frederick Stearnes challenged American Association St. Louis owner Chris Von Der Ahe to a best-of-fifteen Championship series. The Wolverines prevailed winning eight games. Despite appearing in sixteen post-season games, the Browns receive nothing for their efforts as Von Der Ahe refused to share his profits."
1887,Event Summary,St. Louis Browns first baseman/manager Charles Comiskey became the first baseball player ever paid to endorse a product after lending his name and likeness to Mennell's Penetrating Oil.
1887,Event Summary,"Thomas Ramsey of the Louisville Colonels introduced the ""knuckleball"" pitch, which helped him to fan seventeen batters in a single game — twice."
1887,Event Summary,"On April 16th, Mike Griffin of the Baltimore Orioles became the first player ever to homer in his first Major League at-bat."
1887,Event Summary,"""Paul Revere Radford, one of baseball's oldtime great batters, died last night. He played with clubs in the old American Association and National League including Boston, New York, Cleveland, Washington, Providence and Buffalo."" - New York Times Obituary (February 24, 1944)"
1887,Event Summary,←1886| 1887 Hitting Statistics League Leaders |1888→
1887,Event Summary,←1886| 1887 Pitching Statistics League Leaders |1888→
1887,Event Summary,Team Standings
1887,Event Summary,Hitting Statistics League Leaderboard
1887,Event Summary,Pitching Statistics League Leaderboard
1887,Event Summary,"On Opening Day (April 16, 1887) bothMike GriffinandGeorge Tebeauhit home runs; however, they both happened during the first at-bat of their Major League careers making this the first Opening Day for such an event and the first time to players joined this unique club on the same day."
1887,Event Summary,"Did you know that there have been only three instances in Major League history where an outfielder has started more than two double plays from his position? They are (in chronological order) June 9, 1887 byCandy Nelson, April 26, 1905 byJack McCarthyand April 19, 1926 byIra Flagstead."
1887,Event Summary,"On October 1, 1887 league leader in games pitched, complete games, wins and shutoutsMatt Kilroywon both ends of a doubleheader and set the Major League record for wins in a single season by a lefthanded pitcher."
1888,Event List,All-Star GameA.L.C.S. & N.L.C.S.AwardsBallparksCollege BaseballDivision SeriesDraftManagersOpening DayTeam by TeamTrades DatabaseUmpiresWild Card GameWorld SeriesYear by Year
1888,Event List,Baseball FamiliesBiographiesBirthplace AnalysisFabulous FeatsFamous FirstsGrave SitesHall of FameInterviewsObituariesPlace of Death AnalysisThe BallplayersQuotesYear of Birth AnalysisYear of Death Analysis
1888,Event List,Attendance DataHitting ChartsPitching ChartsRecord BooksStatmaster
1888,Event List,"1,500 Oldest PlayersAutographsBaseball CardsBaseball ChartsBaseball ListsBook ShelfCups of CoffeeFun & GamesHumor & JokesMovie TimeNews FeedsPoetry & SongResearch ArticlesUniform NumbersU.S. Presidents"
1888,Event List,AdvertisingBlogDictionaryFeedbackNewsletterRulesScoringSearch & FindStats 101
1888,Event Summary,"Serial killer ""Jack the Ripper"" mutilated a number of prostitutes in the East End of London in 1888, setting off a mass hysteria throughout the city. The name ""Jack the Ripper"" originated from a letter apparently written by someone claiming to be the killer at the time of the murders. All five women were brutally slain within a one-mile area radius of each other in the districts of Whitechapel, Spitalfields, Aldgate, and the City of London proper. Despite one of the most intensive manhunts ever conducted by Scotland Yard detectives, ""The Ripper"" was never actually caught, although there were several suspects."
1888,Event Summary,"Charles Ferguson, a standout pitcher with the Philadelphia Phillies died on April 29thtwelve days after his twenty-fifth birthday. Ferguson had been a thirty-game winner in 1886 and a twenty-game winner in each of his three other Major League seasons."
1888,Event Summary,"On July 13th, Harry Staley and Pud Galvin of the Pittsburgh Alleghenys became the first pitchers ever to combine for a double-header shutout after blanking Boston 4-0 and 6-0."
1888,Event Summary,"The National League champion New York Giants defeated the American Association's St. Louis Browns (four-time pennant winners) in an eight-game Championship series. Each player earned a $200 bonus plus an additional $128 from to following benefit games. St. Louis owner Chris Von Der Ahe kept the Browns $1,200 pennant purse while referring to his players as ""chumps"" in the papers. As a result, the team had now played in twenty-seven post-season games (over two seasons) without ever receiving a dime."
1888,Event Summary,American Association umpire John Gaffney changed the system for game calling after moving out from behind the plate — to behind the pitcher when a runner was on base.
1888,Event Summary,Cincinnati Red Stocking fans were able to follow the game using the first ever baseball scorecard.
1888,Event Summary,"Perhaps the most famous baseball poem ever written ""Casey at the Bat"" was published in the San Francisco Examiner. Twenty-five year-old author Ernest L. Thayer was paid $5 for his efforts and was simply credited as ""Phin""."
1888,Event Summary,"""Paul Revere Radford, one of baseball's oldtime great batters, died last night. He played with clubs in the old American Association and National League including Boston, New York, Cleveland, Washington, Providence and Buffalo."" - New York Times Obituary (February 24, 1944)"
1888,Event Summary,←1887| 1888 Hitting Statistics League Leaders |1889→
1888,Event Summary,←1887| 1888 Pitching Statistics League Leaders |1889→
1888,Event Summary,Team Standings
1888,Event Summary,Hitting Statistics League Leaderboard
1888,Event Summary,Pitching Statistics League Leaderboard
1888,Event Summary,"The American Association might have been on the verge of failing, but they were still willing to pioneer new concepts in an effort to make the game better. One of those was a dual umpire system (first used in postseason play in 1887) that began appearing in regular season games during the 1888 season."
1888,Event Summary,"Did you know that during the 1888 season, the Brooklyn Trolley Dodgers were often referred to in the media as the Brooklyn Bridegrooms — a nickname given them due to the large number of players who married during the offseason?"
1888,Event Summary,"On August 3, 1888,Sliding Billy Hamiltonsteals his first Major League base and continues swiping until he reaches the ""impossible to break"" record of nine-hundred twelve. The record is ""in the books"" untilLou Brocksurpasses it in 1979."
1889,Event List,All-Star GameA.L.C.S. & N.L.C.S.AwardsBallparksCollege BaseballDivision SeriesDraftManagersOpening DayTeam by TeamTrades DatabaseUmpiresWild Card GameWorld SeriesYear by Year
1889,Event List,Baseball FamiliesBiographiesBirthplace AnalysisFabulous FeatsFamous FirstsGrave SitesHall of FameInterviewsObituariesPlace of Death AnalysisThe BallplayersQuotesYear of Birth AnalysisYear of Death Analysis
1889,Event List,Attendance DataHitting ChartsPitching ChartsRecord BooksStatmaster
1889,Event List,"1,500 Oldest PlayersAutographsBaseball CardsBaseball ChartsBaseball ListsBook ShelfCups of CoffeeFun & GamesHumor & JokesMovie TimeNews FeedsPoetry & SongResearch ArticlesUniform NumbersU.S. Presidents"
1889,Event List,AdvertisingBlogDictionaryFeedbackNewsletterRulesScoringSearch & FindStats 101
1889,Event Summary,"On June 1st, Americans awoke to the news that Johnstown, Pennsylvania had been devastated by the worst flood in U.S. history. Over 2,200 were dead, with many more homeless. Johnstown was a steel company town with a population of 30,000. It had grown quickly into an industrious community known for the quality of its steel. After a night of heavy rains, the South Fork Dam that protected the city collapsed, sending twenty million tons of water crashing down the narrow valley. Filled with huge chunks of debris, the wall of floodwater grew at times to sixty feet high, tearing downhill at forty miles per hour, leveling everything in its path."
1889,Event Summary,"John T. Brush approved a new salary classification plan based on rating players personal habits from A to E. Class ""A"" players received $2500 dollars while a Class ""E"" player was paid $1,500 dollars and expected to help clean the clubhouse. The Brotherhood of Professional Baseball Players was displeased with the policy, but managed to avert a strike by proposing the development of a third league."
1889,Event Summary,"William Hoy of the Washington Senators became the first outfielder ever to throw out three runners at the plate in a single game. Both deaf and mute from the age of three, Hoy played fourteen years in the majors while hitting .288 with forty home runs and seven-hundred twenty-six runs batted in."
1889,Event Summary,"On October 29th, the New York Giants defeated the Brooklyn Trolley-Dodgers in an early nine game version of the ""Subway Series"" world championship."
1889,Event Summary,The Louisville Colonels set an unwanted Major League record on June 22ndafter suffering their twenty-sixth consecutive loss.
1889,Event Summary,The Brooklyn Bridegrooms won the American Association pennant after defeating the Columbus Buckeyes 6-1 on October 14th.
1889,Event Summary,"Montgomery Ward organized a third league known as the ""Players League"" consisting of the Boston Reds, Brooklyn Wonders, Buffalo Bisons, Chicago Pirates, Cleveland Infants, New York Giants, Philadelphia Quakers and Pittsburgh Burghers. It was determined that all players moving into the new league for it's 1890 inaugural season would receive three-year contracts with guaranteed 1888 salaries for the first year and no subsequent pay-cuts."
1889,Event Summary,"""Gentlemanly and articulate in an age when few ballplayers were, he played as (Harry) Stovey rather than Stowe (his real name) so that his mother would not see his name in box scores."" - Jack Kavanagh"
1889,Event Summary,←1888| 1889 Hitting Statistics League Leaders |1890→
1889,Event Summary,←1888| 1889 Pitching Statistics League Leaders |1890→
1889,Event Summary,Team Standings
1889,Event Summary,Hitting Statistics League Leaderboard
1889,Event Summary,Pitching Statistics League Leaderboard
1889,Event Summary,"In 1888, it was a nickname. In 1889, it was a team name: The Brooklyn Trolley Dodgers were referred to as the Bridegrooms throughout the previous season due to the large number of betrothed players. The nickname stuck and the Bridegrooms were created."
1889,Event Summary,"Did you know that the Kansas City Cowboys were the second (and final [the first was the Columbus Colts on June 14, 1883]) American Association team to score at least one run during every inning of a game? The fabulous feat took place on May 20, 1888 versus the Brooklyn Bridegrooms and the Colts won the high scoring contest 18-12."
1889,Event Summary,"The Louisville Colonels experienced what could have been one of the most challenging seasons for any franchise; on June 14, 1889 they lost their twentieth consecutive game and received a $25 fine from their manager just for losing, one day later only six players show up to play and the game is forfeited, eight days later they set the Major League record for consecutive losses (26) and by seasons end they had become the first (and one of only two) American Association team to lose more than one-hundred regular season games."
1890,Event List,All-Star GameA.L.C.S. & N.L.C.S.AwardsBallparksCollege BaseballDivision SeriesDraftManagersOpening DayTeam by TeamTrades DatabaseUmpiresWild Card GameWorld SeriesYear by Year
1890,Event List,Baseball FamiliesBiographiesBirthplace AnalysisFabulous FeatsFamous FirstsGrave SitesHall of FameInterviewsObituariesPlace of Death AnalysisThe BallplayersQuotesYear of Birth AnalysisYear of Death Analysis
1890,Event List,Attendance DataHitting ChartsPitching ChartsRecord BooksStatmaster
1890,Event List,"1,500 Oldest PlayersAutographsBaseball CardsBaseball ChartsBaseball ListsBook ShelfCups of CoffeeFun & GamesHumor & JokesMovie TimeNews FeedsPoetry & SongResearch ArticlesUniform NumbersU.S. Presidents"
1890,Event List,AdvertisingBlogDictionaryFeedbackNewsletterRulesScoringSearch & FindStats 101
1890,Event Summary,"Due to a growing concern nationwide over economic power in large corporations, the U.S. Congress passed the first measure to prohibit trusts called the ""Sherman Antitrust Act"". The act, based on the constitutional power of Congress to regulate interstate commerce, declared illegal every contract, combination, or conspiracy in restraint of interstate and foreign trade. A fine of $5,000 and imprisonment for one year was set as the maximum penalties for violating the law."
1890,Event Summary,"On Labor Day, the Pittsburgh Alleghenys were swept in a rare triple-header by the home team Brooklyn Bridegrooms 10-9, 3-2 and 8-4. The trio of winning pitchers included Bob Caruthers, Tom Lovett and Adonis Terry."
1890,Event Summary,New York Giants slugger Mike Tiernan became the first player ever to hit a home run from one ballpark into another after launching a thirteenth inning blast off the Boston Beaneaters' Kid Nichols that traveled over the centerfield wall at the Polo Grounds into the adjacent Brotherhood Park.
1890,Event Summary,"The Brooklyn Bridegrooms and Cincinnati Reds moved from the American Association to the National League who had also dropped the Washington Senators. The American Association's Kansas City franchise folded, but the Rochester Hop Bitters, Syracuse Stars, Toledo Maumees and Brooklyn Gladiators were added in their place."
1890,Event Summary,"Ledell ""Cannonball"" Titcomb tossed a 7-0 no-hitter against the Syracuse Stars on September 15th."
1890,Event Summary,"The newly developed Players League debuted with eight teams (Boston, Brooklyn, Buffalo, Chicago, Cleveland, New York Philadelphia and Pittsburgh) as the Buffalo Bisons recorded the greatest opening day winning margin with a 23-2 victory over the Cleveland Infants."
